secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
92,7.83333,119.667,0.0502517,0.615,0,0,0,0,0,0,0,-6.56913e+25,0,-255,0,0,0,0,0,0,0,0
93,15.6667,120.333,0.0504233,1.23,0,0,0,0,0,0,0,-1.18244e+26,0,-255,0,0,0,0,0,0,0,0
94,23.5,121,0.050595,1.845,0,0,0,0,0,0,0,-2.1284e+26,0,-255,0,0,0,0,0,0,0,0
95,31.3333,121.667,0.0507667,2.46,0,0,0,0,0,0,0,-3.83112e+26,0,-255,0,0,0,0,0,0,0,0
96,39.1667,122.333,0.0509383,3.075,0,0,0,0,0,0,0,-6.89601e+26,0,-255,0,0,0,0,0,0,0,0
97,47,123,0.05111,3.69,0,0,0,0,0,0,0,-1.24128e+27,0,-255,0,0,0,0,0,0,0,0
98,46.75,123.75,0.0521275,3.6738,0,0,0,0,0,0,0,-2.23431e+27,0,-255,0,0,0,0,0,0,0,0
99,46.5,124.5,0.053145,3.6576,0,0,0,0,0,0,0,-4.02175e+27,0,-255,0,0,0,0,0,0,0,0
100,46.25,125.25,0.0541625,3.6414,0,0,0,0,0,0,0,-7.23915e+27,0,-255,0,0,0,0,0,0,0,0
101,46,126,0.05518,3.6252,0,0,0,0,0,0,0,-1.30305e+28,0,-255,0,0,0,0,0,0,0,0
102,46.25,127.25,0.056165,3.5991,0,0,0,0,0,0,0,-2.34549e+28,0,-255,0,0,0,0,0,0,0,0
103,46.5,128.5,0.05715,3.573,0,0,0,0,0,0,0,-4.22187e+28,0,-255,0,0,0,0,0,0,0,0
104,46.75,129.75,0.058135,3.5469,0,0,0,0,0,0,0,-7.59937e+28,0,-255,0,0,0,0,0,0,0,0
105,47,131,0.05912,3.5208,0,0,0,0,0,0,0,-1.36789e+29,0,-255,0,0,0,0,0,0,0,0
106,46.9375,130.812,0.0601475,3.5127,0,0,0,0,0,0,0,-2.4622e+29,0,-255,0,0,0,0,0,0,0,0
107,46.875,130.625,0.061175,3.5046,0,0,0,0,0,0,0,-4.43195e+29,0,-255,0,0,0,0,0,0,0,0
108,46.8125,130.438,0.0622025,3.4965,0,0,0,0,0,0,0,-7.97752e+29,0,-255,0,0,0,0,0,0,0,0
109,46.75,130.25,0.06323,3.4884,0,0,0,0,0,0,0,-1.43595e+30,0,-255,0,0,0,0,0,0,0,0
110,46.6875,130.062,0.0642575,3.4803,0,0,0,0,0,0,0,-2.58472e+30,0,-255,0,0,0,0,0,0,0,0
111,46.625,129.875,0.065285,3.4722,0,0,0,0,0,0,0,-4.65249e+30,0,-255,0,0,0,0,0,0,0,0
